Company Name,BAN,Substance Abuse,LCSW,LPC,MFT,LMSW,PLPC,Psychiatric Nurse Practitioner,Psychiatrist,Psychologist,Alcohol and Substance Abuse,Anger Management,Child/Adolescent,Domestic Violence,Faith Based,Family/Marriage,General Mental Health,Post Traumatic Stress,Sexual Assault,Suicide Prevention,Traumatic Brain Injury,Website,Phone Number,Zip Code,Country ,TRICARE,Military Culture,Admin Notes,Location 1,Suite No.
"Amelia  Chenoweth, LPC, LCSW",No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,,4178608684,65804,United States,No,"Not yet, but I would like to work with the military community",,"2021 S. Waverly
Springfield, Missouri 65804
(37.177154, -93.263775)",Suite 700
A New Expectation Counseling,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,5734653603,65559,United States,No,"Not yet, but I would like to work with the military community",,"13395 CR-3550
St. James, Missouri 65559
(37.901615, -91.608672)",
A New Song Counseling,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,5736479039,65401,United States,Yes,"Not yet, but I would like to work with the military community",,"1030A Kingshighway
Rolla, Missouri 65401
(37.945445, -91.782724)",
A New Song Counseling,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,5736479039,65583,United States,Yes,"Not yet, but I would like to work with the military community",,"413 Rte 66
Waynesville, Missouri 65584
(37.824404, -92.210195)",
"Angela Toomey, LCSW",No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,http://ozarksmedicalcenter.com,4172576762,65775,United States,No,"Not yet, but I would like to work with the military community",,"909 Kentucky
West Plains, Missouri 65775
(36.736287, -91.875593)",
Annalisa Gramlich LPC RYT200,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,8169169642,64114,United States,No,"Not yet, but I would like to work with the military community",,"8080 Ward Parkway
Kansas City, Missouri 64114
(38.982642, -94.607028)",Suite 330
"Anna Majors, LPC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,http://www.newvisioncounseling.com,5734810888,63801,United States,No,"Not yet, but I would like to work with the military community",,"404 East Center
Sikeston, Missouri 63801
(36.875689, -89.580917)",
Associates In Caring,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,http://www.associatesincaring.org,4172349023,65807,United States,No,"Not yet, but I would like to work with the military community",,"227 E. Sunshine
Springfield, Missouri 65807
(37.182194, -93.291951)",Suite 120
A Tru Path Counseling Services (sm),No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,http://www.atrupathcounseling.net,8165509549,64133,United States,Yes,"Not yet, but I would like to work with the military community",,"Raytown, Missouri 64133
(39.014892, -94.460478)",
Attachment and Family Therapy Center,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,,4174963931,65802,United States,No,"Not yet, but I would like to work with the military community",,"1340 West Battlefield
Springfield, Missouri 65802
(37.160114, -93.310121)",Suite 6
Avenues Counseling Center,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,http://franktheusplpc.com/,5732460431,63117,United States,No,"Yes, I have served in the military",,"1612 S. Big Bend Blvd
St. Louis, Missouri 63117
(38.624279, -90.32066)",
"Barbara Becherer, LPC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,http://bechererlpc.net/,3146237575,63050,United States,No,"Yes, I have training in military culture",,"10785 Business Hwy 21
Hillsboro, Missouri 63050
(38.226295, -90.567813)",
"Barb Campbell, LPC",No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,,4177615832,65804,United States,Yes,"Yes, I have training in military culture",,"1300 Bradford Parkway
Springfield, Missouri 65804
(37.146945, -93.274983)",
"Behavior Management Associates, PC",No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.behaviormgt.com,4177821910,64804,United States,Yes,"Yes, I have training in military culture",,"2702 Cunningham
Joplin, Missouri 64804
(37.061481, -94.535994)",Suite A
"Benton Street Counseling, LLC",No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.bentonstreetcounseling.com/,5734432833,65583,United States,Yes,"Not yet, but I would like to work with the military community",,"119 N. Benton Street
Waynesville, Missouri 65583
(37.829382, -92.201678)",
"Benton Street Counseling, LLC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.bentonstreetcounseling.com/,5734432833,65020,United States,Yes,"Not yet, but I would like to work with the military community",,"89 McCrory Dr
Camdenton, Missouri 65020
(38.004332, -92.754948)",
"Better Life Counseling, LLC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,,3143233631,63042,United States,No,"Not yet, but I would like to work with the military community",,"737 Dunn Road
Hazelwood, Missouri 63042
(38.782166, -90.374177)",Suite A
BJC Behavioral Health,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,http://bjcbehavioralhealth.org,3147294004,63141,United States,No,"Not yet, but I would like to work with the military community",,"605 Old Ballas Road
St. Louis, Missouri 63141
(38.666966, -90.438557)",Suite 123
Blash Counseling Associates,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,3145031746,63107,United States,No,"Not yet, but I would like to work with the military community",,"1323 Sullivan Ave.
St. Louis, Missouri 63107
(38.652786, -90.19706)",
"Bobbi Summers, LPC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,,5732104049,63664,United States,No,"Not yet, but I would like to work with the military community",,"215 East High Street
Potosi, Missouri 63664
(37.935022, -90.785771)",Suite 5
Body & Soul Counseling,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,http://www.gsmiththerapy.com,3144224651,63119,United States,Yes,"Yes, I have served in the military",,"540 Garden Ave
St. Louis, Missouri 63119
(38.588491, -90.343341)",
Body & Soul Counseling,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,http://www.gsmiththerapy.com,3144224651,63105,United States,Yes,"Yes, I have served in the military",,"225 S. Meramec Ave
Clayton, Missouri 63105
(38.646643, -90.340173)",Suite 432
"Bonnie Rudden, LPC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,,3144124281,63131,United States,No,"Not yet, but I would like to work with the military community",,"2190 S. Mason Road
St. Louis, Missouri 63131
(38.596429, -90.479527)",Suite 300
Bootheel Counseling Services,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,http://www.bootheelcounseling.com/,5734710800,63801,United States,No,"Not yet, but I would like to work with the military community",,"760 Plantation Blvd
Sikeston, Missouri 63801
(36.866446, -89.580858)",
Bridgeway Behavioral Health,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,http://www.bridgewaybh.com/,6362241000,63303,United States,No,"Not yet, but I would like to work with the military community",,"1507 S. Main Street
St. Charles, Missouri 63303
(38.764973, -90.4925)",
Burrell Behavioral Health,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.burrellcenter.com,4177615600,65807,United States,No,"Not yet, but I would like to work with the military community",,"323 E. Grand Street
Springfield, Missouri 65807
(37.19688, -93.29041)",
Calming the Storm Counseling,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.calmingthestormcounseling.com,4176508990,65536,United States,Yes,"Not yet, but I would like to work with the military community",,"2120 South Jefferson
Lebanon, Missouri 65536
(37.655347, -92.64946)",
"Candice Farrell, LPC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,3148311533,63033,United States,No,"Not yet, but I would like to work with the military community",,"1385 Harkee
Florissant, Missouri 63033
(38.814232, -90.342885)",
CarePoint Christian Counseling,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,http://www.CarePointCounseling.com,3148228888,63122,United States,No,"Not yet, but I would like to work with the military community",,"12166 Old Big Bend Road
Kirkwood, Missouri 63122
(38.56938, -90.433648)",Suite 307
"Casondra M. Foster, MS LPC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,,8165477119,64134,United States,No,"Not yet, but I would like to work with the military community",,"9725 Harvard Avenue
Kansas City, Missouri 64134
(38.945404, -94.453498)",
Catholic Charities,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://catholiccharites-kcsj.org,8166598277,64105,United States,No,"Not yet, but I would like to work with the military community",,"850 Main Street
Kansas City, Missouri 64105
(39.104052, -94.583575)",
CC Counseling Services,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,http://cccounselors.com/,4177258810,65714,United States,No,"Not yet, but I would like to work with the military community",,"380 E State Hwy CC
Nixa, Missouri 65714
(37.072564, -93.286901)",Suite A105
"Celeste Daiber, M.Ed., LPC, NCC, RPT (ages 3 to 21)",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,http://kscounselingstl.com,6367241224,63301,United States,No,"Not yet, but I would like to work with the military community",,"408 Jefferson Street
St. Charles, Missouri 63301
(38.782414, -90.485217)",
"Center for Life Solutions, Inc",No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,http://www.centerforlifesolutions.org,3147310100,63042,United States,No,"Not yet, but I would like to work with the military community",,"637 Dunn Rd
Hazelwood, Missouri 63042
(38.779655, -90.363888)",Suite 180
"Central Light Counseling, LLC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.centrallightcounseling.com,3143019297,63118,United States,No,"Not yet, but I would like to work with the military community",,"3115 South Grand Blvd
St. Louis, Missouri 63118
(38.602473, -90.242316)",Suite 450
Christian Whole Person Counseling Services,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,,3147274223,63130,United States,No,"Not yet, but I would like to work with the military community",,"8147 Delmar
University City, Missouri 63130
(38.660325, -90.347712)",Suite 212
"Christine Cooper, LPC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,,5734801346,65203,United States,No,"Not yet, but I would like to work with the military community",,"5209 Beacon Falls Drive
Columbia, Missouri 65203
(38.897809, -92.41008)",
"Christopher Cornine, LPC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.diakonocounseling.com,8163739240,64057,United States,Yes,"Yes, I have training in military culture",,"4200 Little Blue Parkway
Independence, Missouri 64057
(39.037699, -94.341209)",Suite 360
Clarity Counseling and EMDR Center,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,http://www.traumaemdrtherapystlouis.com,3148885212,63105,United States,No,"Not yet, but I would like to work with the military community",,"141 N. Meramec Ave
Clayton, Missouri 63105
(38.653271, -90.339245)",Suite 109
Clarity Healthcare,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,http://www.clarity-healthcare.org,5736031460,63401,United States,Yes,"Not yet, but I would like to work with the military community",,"141 Communication Drive
Hannibal, Missouri 63401
(39.70223, -91.391957)",
Clarity Recovery/a Division of Burrell Behavioral Health,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,http://WWW.BURRELLCENTER.COM,4178937767,65807,United States,No,"Not yet, but I would like to work with the military community",,"1016 W. Battlefield
Springfield, Missouri 65807
(37.160042, -93.305277)",
Clarity Recovery and Wellness,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,http://www.clarityrecovery.org,4178623339,65802,United States,Yes,"Not yet, but I would like to work with the military community",,"800 S Park Avenue
Springfield, Missouri 65802
(37.200501, -93.32209)",
Clark Community Mental Health Center,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,http://www.clarkmentalhealth.com,4172356610,65708,United States,No,"Yes, I have training in military culture",,"411 3rd street
Monett, Missouri 65708
(36.92191, -93.925038)",
Clark Community Mental Health Center,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.clarkmentalhealth.com/,4172356610,65723,United States,No,"Yes, I have training in military culture",,"104 W. Main street
Pierce City, Missouri 65723
(36.945146, -94.003074)",
Clark Community Mental Health Center,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://clarkmentalhealth.com,4172356610,65708,United States,No,"Yes, I have training in military culture",,"1701 North Central
Monett, Missouri 65708
(36.940787, -93.927145)",
Comforting Faith Counseling,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,http://www.hopelightcounseling.com,8165813730,64063,United States,No,"Not yet, but I would like to work with the military community",,"210 NE Chipman Rd
Lee's Summit, Missouri 64063
(38.924992, -94.376161)",
Community Counseling Center,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,,5739158911,63645,United States,No,"Yes, I have served in the military",,"311 Garrett Street
Fredericktown, Missouri 63645
(37.564709, -90.283082)",
Community Counseling Center,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.cccntr.com,5733341100,63703,United States,No,"Yes, I have served in the military",,"402 South Silver Springs Road
Cape Girardeau, Missouri 63703
(37.292892, -89.566254)",
"Community Counseling Services of Missouri, LLC",No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,https://therapists.psychologytoday.com/rms/159157,4176604539,65483,United States,Yes,"Yes, I have training in military culture",,"1591 U.S. 63
Houston, Missouri 65483
(37.342924, -91.935328)",
"Community Counseling Services of Missouri, LLC",No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,https://therapists.psychologytoday.com/rms/159157,4176604539,65560,United States,Yes,"Yes, I have training in military culture",,"103 W 4th Street
Salem, Missouri 65660
(37.645634, -91.53635)",
Community Services of Missouri Inc,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,http://www.dwiprograms.com/,6364419002,63376,United States,No,"Not yet, but I would like to work with the military community",,"1175 Cave Springs Estates Drive
St. Peters, Missouri 63376
(38.790027, -90.568932)",
Community Services of Missouri Inc,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,http://www.dwiprograms.com/,3148319002,63042,United States,No,"Not yet, but I would like to work with the military community",,"7231 North Lindbergh Road
Hazelwood, Missouri 63042
(38.783746, -90.355452)",
Community Services of Missouri Inc,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,http://www.dwiprograms.com/,4179264409,65711,United States,No,"Not yet, but I would like to work with the military community",,"1902 W 19th St
Mountain Grove, Missouri 65711
(37.145465, -92.262882)",
Community Services of Missouri Inc,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,http://www.dwiprograms.com/,6362409002,63366,United States,No,"Not yet, but I would like to work with the military community",,"9019 Veterans Memorial
O'Fallon, Missouri 63366
(38.801507, -90.712333)",
Community Services of Missouri Inc,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,http://www.dwiprograms.com/,5738881995,63857,United States,No,"Not yet, but I would like to work with the military community",,"102 Slicer Street
Kennett, Missouri 63857
(36.236487, -90.054532)",
Community Services of Missouri Inc,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,http://www.dwiprograms.com/,3149689002,63144,United States,No,"Not yet, but I would like to work with the military community",,"2322 S. Brentwood Blvd
Brentwood, Missouri 63144
(38.619026, -90.348479)",
Community Services of Missouri Inc,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,http://www.dwiprograms.com/,4179674409,65483,United States,No,"Not yet, but I would like to work with the military community",,"1591 U.S. 63
Houston, Missouri 65483
(37.310147, -91.961403)",Suite A
Community Services of Missouri Inc,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,http://www.dwiprograms.com/,3149849210,63131,United States,No,"Not yet, but I would like to work with the military community",,"11736 Manchester Road
Des Peres, Missouri 63131
(38.6004, -90.428934)",
Compass Counseling Services,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,http://ozarkscompass.com,4178482234,65536,United States,Yes,"Yes, I have training in military culture",,"702 Owens Dr
Lebanon, Missouri 65536
(37.671841, -92.665375)",
Compass Counseling Services,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,http://ozarkscompass.com,4178482234,65804,United States,Yes,"Yes, I have training in military culture",,"3050 S National Ave
Springfield, Missouri 65804
(37.158497, -93.277329)",Suite 104
"Compassionate Care Christian Counseling, LLC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,4178606517,65616,United States,No,"Not yet, but I would like to work with the military community",,"333 Corporate Place
Branson, Missouri 65616
(36.687656, -93.217957)",Suite R
Comprehensive Counseling Solutions,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,http://mychoicetherapist.com,8165459203,64429,United States,No,"Yes, I have training in military culture",,"517 Walnut
Cameron, Missouri 64429
(39.73551, -94.235974)",
Comprehensive Counseling Solutions,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,http://mychoicetherapist.com,8165459203,64506,United States,No,"Not yet, but I would like to work with the military community",,"3500 N Village Drive
St. Joseph, Missouri 64506
(39.817077, -94.812158)",Suite GL30
COMTREA,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,http://www.comtrea.org,6369312700,63028,United States,No,"Not yet, but I would like to work with the military community",,"110 North Mill Street
Festus, Missouri 63028
(38.220486, -90.393007)",
COMTREA,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,http://www.comtrea.org,6369312700,63010,United States,No,"Not yet, but I would like to work with the military community",,"21 Municipal Drive
Arnold, Missouri 63010
(38.445025, -90.403426)",
"Connie Knox Counseling, LLC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,http://www.connieknox.com,6369288505,63017,United States,No,"Not yet, but I would like to work with the military community",,"14323 South Outer 40
Chesterfield, Missouri 63017
(38.640336, -90.513009)",Suite 607 S
"Connie Knox Counseling, LLC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,http://www.connieknox.com,6369288505,63376,United States,No,"Not yet, but I would like to work with the military community",,"60 Gailwood Drive
St. Peters, Missouri 63376
(38.785541, -90.576409)",Suite C
"Consano Therapy, LLC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.katiethompsonlpc.com,4142880498,63011,United States,No,"Not yet, but I would like to work with the military community",,"14614 Manchester Road
Ballwin, Missouri 63011
(38.592973, -90.528092)",Suite 204
"Consano Therapy, LLC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.katiethompsonlpc.com,4142880498,63122,United States,No,"Not yet, but I would like to work with the military community",,"111 Prospect Ave
Kirkwood, Missouri 63122
(38.567714, -90.407528)",Suite 203J
Coplen Christian Counseling,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,http://www.CoplenCounseling.com,5734469665,65203,United States,No,"Not yet, but I would like to work with the military community",,"2600 Forum Blvd
Columbia, Missouri 65203
(38.924925, -92.364893)",Suite G
Corday Counseling,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,http://www.cordraycounseling.com,3142528959,63021,United States,No,"Not yet, but I would like to work with the military community",,"1230 Big Bend Rd
Ballwin, Missouri 63021
(38.567701, -90.50208)",
Corday Counseling,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,http://www.cordraycounseling.com,3142528959,63049,United States,No,"Not yet, but I would like to work with the military community",,"2608 Gravois
High Ridge, Missouri 63049
(38.466885, -90.523858)",
COS Counseling,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,6369260102,63304,United States,No,"Not yet, but I would like to work with the military community",,"3910 S Old Hwy 94
St. Charles, Missouri 63304
(38.742373, -90.588578)",Suite 117
Counseling Associates,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,4176671931,64804,United States,No,"Not yet, but I would like to work with the military community",,"2906 S. Main
Joplin, Missouri 64804
(37.058535, -94.514678)",
Counseling Associates,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,4176671931,64772,United States,No,"Not yet, but I would like to work with the military community",,"904 W. Hunter
Nevada, Missouri 64772
(37.840579, -94.367201)",
Counseling Solutions of the Ozarks,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,http://counselingsolutionsoftheozarks.com/alison.html,4178278299,65804,United States,No,"Not yet, but I would like to work with the military community",,"1531 E. Sunshine
Springfield, Missouri 65804
(37.181733, -93.268299)",Suite W29
"Courtney Graves, LPC",No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,,3146498683,63033,United States,No,"Not yet, but I would like to work with the military community",,"2075 Aqueduct
Florissant, Missouri 63033
(38.806438, -90.292053)",
Covenant Counseling,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,5734691956,65109,United States,No,"Not yet, but I would like to work with the military community",,"1803 Sunvalley
Jefferson City, Missouri 65109
(38.556631, -92.20047)",Suite B
